id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
1,All India,Rural,HSS (I-XII),Central Tibetan School,27,21,12,14,27,20,21,26,16,30,21,33,29,35,28,39,43,47,109,132,77,101,45,68,48,79
2,All India,Urban,HSS (I-XII),Central Tibetan School,2,6,17,15,14,30,12,26,7,28,25,15,46,70,61,89,63,88,108,121,83,107,99,94,109,105
3,All India,Urban,HSS (IX-XII),Central Tibetan School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,34,38,34,43,39,35
4,All India,Rural,HSS (VI-XII),Central Tibetan School,0,0,0,0,0,0,0,0,0,0,0,0,10,14,8,18,2,4,10,13,7,7,0,0,0,0
5,All India,Urban,HSS (VI-XII),Central Tibetan School,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,6,2,1,2,6,0,0,0,0
6,All India,Rural,PS (I-V),Central Tibetan School,5,7,14,24,4,10,2,16,9,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,All India,Rural,SS (I-X),Central Tibetan School,0,0,23,24,33,18,19,24,24,28,29,34,21,31,24,27,24,25,26,37,36,30,0,0,0,0
8,All India,Urban,SS (I-X),Central Tibetan School,0,0,4,4,2,2,10,12,9,26,8,14,7,10,4,12,5,11,4,12,4,8,0,0,0,0
9,All India,Rural,UPS (I-VIII),Central Tibetan School,12,13,4,8,5,7,6,7,4,4,5,4,5,6,3,4,2,3,0,0,0,0,0,0,0,0
10,All India,Rural,HSS (I-XII),Department of Education,12659,13620,160184,166366,167344,171790,187705,188236,191476,193644,194363,201123,307959,322646,323753,336937,318126,334943,468871,480970,441835,450962,434815,451682,336396,323387
11,All India,Urban,HSS (I-XII),Department of Education,23913,22093,41842,36979,39830,36001,45260,40133,47239,41434,53316,45949,117257,82565,118993,84561,126445,87691,171592,121046,154684,108004,221421,179607,165702,129442
12,All India,Rural,HSS (IX-XII),Department of Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26065,29472,684305,681289,667509,661985,533413,518777,464759,425903
13,All India,Urban,HSS (IX-XII),Department of Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10736,10630,172710,169941,169691,166249,223841,216467,188483,176865
14,All India,Rural,HSS (VI-XII),Department of Education,31,43,0,0,0,0,0,0,0,0,301328,320432,642635,663805,639360,658401,661117,676098,895763,899130,794592,775956,939430,825985,750115,658343
15,All India,Urban,HSS (VI-XII),Department of Education,40,51,0,0,0,0,0,0,0,0,79034,76263,247936,238712,253583,243772,269568,257286,354538,333549,322584,288254,449788,391836,374962,312166
